@HD	VN:1.0	SO:unsorted
@SQ	SN:comp166_c0_seq1	LN:306
@SQ	SN:comp171_c0_seq1	LN:324
@SQ	SN:comp175_c0_seq1	LN:800
@SQ	SN:comp179_c0_seq1	LN:1155
@SQ	SN:comp180_c0_seq1	LN:493
@SQ	SN:comp182_c0_seq1	LN:957
@SQ	SN:comp185_c0_seq1	LN:352
@SQ	SN:comp187_c0_seq1	LN:851
@SQ	SN:comp192_c0_seq1	LN:675
@SQ	SN:comp197_c0_seq1	LN:485
@SQ	SN:comp203_c0_seq1	LN:575
@SQ	SN:comp204_c0_seq1	LN:752
@SQ	SN:comp206_c1_seq1	LN:521
@SQ	SN:comp212_c0_seq2	LN:1143
@SQ	SN:comp218_c0_seq1	LN:311
@SQ	SN:comp224_c0_seq1	LN:231
@SQ	SN:comp232_c0_seq1	LN:251
@SQ	SN:comp234_c0_seq1	LN:438
@SQ	SN:comp237_c0_seq1	LN:252
@SQ	SN:comp237_c0_seq2	LN:202
@SQ	SN:comp240_c0_seq1	LN:338
@SQ	SN:comp244_c0_seq1	LN:249
@SQ	SN:comp246_c0_seq1	LN:867
@SQ	SN:comp246_c1_seq1	LN:303
@SQ	SN:comp252_c0_seq2	LN:1016
@SQ	SN:comp253_c0_seq1	LN:290
@SQ	SN:comp254_c0_seq1	LN:713
@SQ	SN:comp258_c0_seq1	LN:352
@SQ	SN:comp265_c0_seq1	LN:816
@SQ	SN:comp268_c1_seq1	LN:217
@SQ	SN:comp269_c0_seq1	LN:251
@SQ	SN:comp270_c0_seq1	LN:362
@SQ	SN:comp271_c0_seq1	LN:212
@SQ	SN:comp272_c0_seq1	LN:285
@SQ	SN:comp272_c1_seq1	LN:428
@SQ	SN:comp276_c0_seq1	LN:1204
@SQ	SN:comp278_c0_seq1	LN:535
@SQ	SN:comp286_c0_seq1	LN:208
@SQ	SN:comp288_c0_seq1	LN:245
@SQ	SN:comp288_c1_seq1	LN:450
@SQ	SN:comp292_c0_seq1	LN:384
@SQ	SN:comp293_c0_seq1	LN:580
@SQ	SN:comp296_c0_seq1	LN:431
@SQ	SN:comp296_c0_seq2	LN:399
@SQ	SN:comp297_c0_seq1	LN:928
@SQ	SN:comp299_c0_seq1	LN:307
@SQ	SN:comp303_c0_seq2	LN:1824
@SQ	SN:comp308_c0_seq1	LN:215
@SQ	SN:comp311_c0_seq1	LN:291
@SQ	SN:comp320_c0_seq1	LN:648
@SQ	SN:comp326_c0_seq1	LN:610
@SQ	SN:comp326_c0_seq2	LN:583
@SQ	SN:comp328_c0_seq1	LN:1252
@SQ	SN:comp330_c0_seq1	LN:543
@SQ	SN:comp331_c1_seq1	LN:248
@SQ	SN:comp332_c0_seq1	LN:315
@SQ	SN:comp333_c0_seq1	LN:693
@SQ	SN:comp334_c0_seq1	LN:544
@SQ	SN:comp336_c0_seq1	LN:504
@SQ	SN:comp343_c0_seq1	LN:451
@SQ	SN:comp343_c1_seq1	LN:911
@SQ	SN:comp344_c0_seq1	LN:235
@SQ	SN:comp345_c0_seq1	LN:276
@SQ	SN:comp346_c0_seq1	LN:263
@SQ	SN:comp348_c0_seq1	LN:321
@SQ	SN:comp351_c0_seq1	LN:228
@SQ	SN:comp352_c1_seq1	LN:802
@SQ	SN:comp356_c0_seq1	LN:937
@SQ	SN:comp357_c0_seq1	LN:289
@SQ	SN:comp358_c0_seq1	LN:506
@SQ	SN:comp359_c0_seq1	LN:403
@SQ	SN:comp360_c0_seq1	LN:386
@SQ	SN:comp361_c0_seq2	LN:282
@SQ	SN:comp362_c0_seq1	LN:478
@SQ	SN:comp363_c0_seq1	LN:203
@SQ	SN:comp365_c1_seq1	LN:642
@SQ	SN:comp368_c0_seq1	LN:508
@SQ	SN:comp368_c0_seq2	LN:251
@SQ	SN:comp372_c0_seq1	LN:903
@SQ	SN:comp376_c0_seq1	LN:291
@SQ	SN:comp378_c0_seq1	LN:604
@SQ	SN:comp380_c0_seq1	LN:227
@SQ	SN:comp383_c0_seq1	LN:234
@SQ	SN:comp385_c0_seq1	LN:216
@SQ	SN:comp387_c0_seq1	LN:562
@SQ	SN:comp387_c1_seq1	LN:233
@SQ	SN:comp388_c0_seq1	LN:403
@SQ	SN:comp397_c0_seq1	LN:563
@SQ	SN:comp398_c0_seq1	LN:423
@SQ	SN:comp401_c0_seq1	LN:355
@SQ	SN:comp405_c0_seq1	LN:473
@SQ	SN:comp406_c0_seq1	LN:358
@SQ	SN:comp408_c0_seq1	LN:515
@SQ	SN:comp410_c0_seq1	LN:716
@SQ	SN:comp411_c0_seq1	LN:460
@SQ	SN:comp419_c0_seq1	LN:351
@SQ	SN:comp419_c0_seq2	LN:239
@SQ	SN:comp420_c0_seq1	LN:310
@SQ	SN:comp421_c0_seq1	LN:411
@SQ	SN:comp421_c0_seq2	LN:295
@SQ	SN:comp424_c0_seq2	LN:1322
@SQ	SN:comp425_c0_seq1	LN:474
@SQ	SN:comp427_c1_seq1	LN:527
@SQ	SN:comp430_c0_seq1	LN:256
@SQ	SN:comp430_c1_seq1	LN:317
@SQ	SN:comp432_c0_seq1	LN:415
@SQ	SN:comp436_c0_seq1	LN:207
@SQ	SN:comp440_c0_seq1	LN:920
@SQ	SN:comp445_c0_seq1	LN:352
@SQ	SN:comp446_c0_seq2	LN:358
@SQ	SN:comp446_c0_seq3	LN:228
@SQ	SN:comp447_c0_seq1	LN:282
@SQ	SN:comp450_c0_seq1	LN:1752
@SQ	SN:comp451_c0_seq1	LN:224
@SQ	SN:comp452_c0_seq1	LN:696
@SQ	SN:comp453_c0_seq1	LN:429
@SQ	SN:comp454_c0_seq1	LN:272
@SQ	SN:comp457_c0_seq1	LN:613
@SQ	SN:comp461_c0_seq1	LN:747
@SQ	SN:comp462_c0_seq1	LN:223
@SQ	SN:comp463_c0_seq1	LN:282
@SQ	SN:comp464_c0_seq1	LN:335
@SQ	SN:comp464_c0_seq2	LN:252
@SQ	SN:comp465_c0_seq1	LN:260
@SQ	SN:comp468_c0_seq1	LN:242
@SQ	SN:comp468_c1_seq1	LN:762
@SQ	SN:comp470_c0_seq1	LN:425
@SQ	SN:comp480_c0_seq1	LN:347
@SQ	SN:comp481_c0_seq1	LN:584
@SQ	SN:comp482_c1_seq1	LN:308
@SQ	SN:comp483_c0_seq1	LN:560
@SQ	SN:comp486_c0_seq1	LN:215
@SQ	SN:comp490_c0_seq1	LN:461
@SQ	SN:comp492_c0_seq1	LN:206
@SQ	SN:comp494_c0_seq1	LN:312
@SQ	SN:comp498_c0_seq1	LN:288
@SQ	SN:comp498_c1_seq1	LN:410
@SQ	SN:comp501_c0_seq1	LN:297
@SQ	SN:comp505_c0_seq2	LN:267
@SQ	SN:comp508_c0_seq1	LN:305
@SQ	SN:comp510_c0_seq1	LN:208
@SQ	SN:comp515_c0_seq1	LN:497
@SQ	SN:comp516_c0_seq1	LN:311
@SQ	SN:comp518_c0_seq1	LN:263
@SQ	SN:comp518_c1_seq1	LN:573
@SQ	SN:comp525_c0_seq1	LN:378
@SQ	SN:comp525_c0_seq2	LN:378
@SQ	SN:comp527_c0_seq1	LN:237
@SQ	SN:comp528_c0_seq1	LN:953
@SQ	SN:comp529_c1_seq1	LN:575
@SQ	SN:comp532_c0_seq1	LN:210
@SQ	SN:comp536_c0_seq1	LN:394
@SQ	SN:comp538_c0_seq1	LN:3610
@SQ	SN:comp539_c0_seq1	LN:279
@SQ	SN:comp539_c1_seq1	LN:341
@SQ	SN:comp540_c0_seq1	LN:209
@SQ	SN:comp542_c0_seq1	LN:501
@SQ	SN:comp545_c0_seq1	LN:793
@SQ	SN:comp551_c1_seq1	LN:777
@SQ	SN:comp554_c0_seq1	LN:424
@SQ	SN:comp555_c1_seq1	LN:487
@SQ	SN:comp562_c0_seq1	LN:256
@SQ	SN:comp566_c0_seq1	LN:219
@SQ	SN:comp571_c0_seq1	LN:383
@SQ	SN:comp571_c0_seq2	LN:331
@SQ	SN:comp572_c1_seq1	LN:431
@SQ	SN:comp578_c0_seq1	LN:214
@SQ	SN:comp581_c0_seq1	LN:622
@SQ	SN:comp584_c0_seq1	LN:520
@SQ	SN:comp585_c1_seq1	LN:711
@SQ	SN:comp594_c0_seq1	LN:358
@SQ	SN:comp596_c0_seq1	LN:273
@SQ	SN:comp596_c1_seq1	LN:203
@SQ	SN:comp598_c0_seq1	LN:339
@SQ	SN:comp598_c1_seq1	LN:1098
@SQ	SN:comp601_c0_seq1	LN:210
@SQ	SN:comp602_c0_seq1	LN:485
@SQ	SN:comp605_c0_seq1	LN:332
@SQ	SN:comp611_c0_seq1	LN:388
@SQ	SN:comp613_c0_seq1	LN:281
@SQ	SN:comp619_c0_seq1	LN:918
@SQ	SN:comp621_c0_seq1	LN:210
@SQ	SN:comp621_c1_seq1	LN:384
@SQ	SN:comp622_c1_seq1	LN:383
@SQ	SN:comp627_c0_seq1	LN:211
@SQ	SN:comp634_c0_seq1	LN:355
@SQ	SN:comp635_c0_seq2	LN:292
@SQ	SN:comp636_c0_seq1	LN:366
@SQ	SN:comp636_c1_seq1	LN:668
@SQ	SN:comp638_c0_seq1	LN:264
@SQ	SN:comp640_c1_seq1	LN:227
@SQ	SN:comp641_c0_seq1	LN:340
@SQ	SN:comp643_c0_seq1	LN:334
@SQ	SN:comp647_c0_seq1	LN:1371
@SQ	SN:comp649_c0_seq1	LN:208
@SQ	SN:comp654_c0_seq1	LN:1049
@SQ	SN:comp655_c0_seq1	LN:391
@SQ	SN:comp658_c0_seq1	LN:362
@SQ	SN:comp658_c1_seq1	LN:239
@SQ	SN:comp659_c0_seq1	LN:397
@SQ	SN:comp663_c0_seq1	LN:729
@SQ	SN:comp672_c0_seq1	LN:240
@SQ	SN:comp672_c1_seq1	LN:289
@SQ	SN:comp673_c0_seq1	LN:298
@SQ	SN:comp675_c0_seq1	LN:322
@SQ	SN:comp676_c0_seq1	LN:396
@SQ	SN:comp678_c0_seq1	LN:786
@SQ	SN:comp684_c0_seq1	LN:476
@SQ	SN:comp686_c0_seq1	LN:581
@SQ	SN:comp686_c0_seq2	LN:299
@SQ	SN:comp688_c0_seq1	LN:538
@SQ	SN:comp693_c0_seq1	LN:253
@SQ	SN:comp696_c0_seq1	LN:408
@SQ	SN:comp696_c1_seq1	LN:516
@SQ	SN:comp701_c0_seq1	LN:341
@SQ	SN:comp704_c0_seq2	LN:275
@SQ	SN:comp706_c0_seq1	LN:666
@SQ	SN:comp707_c0_seq2	LN:1278
@SQ	SN:comp710_c0_seq1	LN:409
@SQ	SN:comp710_c1_seq1	LN:300
@SQ	SN:comp714_c0_seq1	LN:365
@SQ	SN:comp716_c0_seq1	LN:251
@SQ	SN:comp716_c1_seq1	LN:302
@SQ	SN:comp717_c0_seq1	LN:218
@SQ	SN:comp717_c0_seq2	LN:213
@SQ	SN:comp718_c0_seq1	LN:306
@SQ	SN:comp719_c0_seq1	LN:206
@SQ	SN:comp720_c0_seq1	LN:453
@SQ	SN:comp722_c0_seq1	LN:441
@SQ	SN:comp723_c0_seq1	LN:293
@SQ	SN:comp724_c0_seq1	LN:577
@SQ	SN:comp725_c0_seq1	LN:480
@SQ	SN:comp728_c0_seq1	LN:319
@SQ	SN:comp729_c0_seq1	LN:427
@SQ	SN:comp730_c0_seq1	LN:221
@SQ	SN:comp735_c0_seq1	LN:432
@SQ	SN:comp737_c0_seq2	LN:413
@SQ	SN:comp741_c0_seq1	LN:453
@SQ	SN:comp741_c1_seq1	LN:503
@SQ	SN:comp742_c0_seq2	LN:282
@SQ	SN:comp746_c0_seq1	LN:301
@SQ	SN:comp747_c0_seq1	LN:453
@SQ	SN:comp748_c0_seq1	LN:578
@SQ	SN:comp749_c0_seq1	LN:623
@SQ	SN:comp750_c0_seq1	LN:538
@SQ	SN:comp750_c0_seq2	LN:258
@SQ	SN:comp753_c0_seq1	LN:542
@SQ	SN:comp754_c0_seq1	LN:871
@SQ	SN:comp755_c0_seq1	LN:603
@SQ	SN:comp755_c1_seq1	LN:283
@SQ	SN:comp756_c1_seq1	LN:625
@SQ	SN:comp760_c0_seq1	LN:331
@SQ	SN:comp761_c0_seq1	LN:544
@SQ	SN:comp762_c0_seq1	LN:206
@SQ	SN:comp764_c0_seq1	LN:234
@SQ	SN:comp766_c0_seq1	LN:269
@SQ	SN:comp775_c0_seq1	LN:234
@SQ	SN:comp776_c0_seq1	LN:312
@SQ	SN:comp778_c0_seq1	LN:434
@SQ	SN:comp780_c0_seq1	LN:323
@SQ	SN:comp781_c0_seq1	LN:201
@SQ	SN:comp784_c0_seq1	LN:604
@SQ	SN:comp786_c0_seq1	LN:256
@SQ	SN:comp786_c1_seq1	LN:300
@SQ	SN:comp788_c0_seq1	LN:598
@SQ	SN:comp790_c0_seq1	LN:865
@SQ	SN:comp793_c0_seq1	LN:700
@SQ	SN:comp797_c0_seq1	LN:324
@SQ	SN:comp798_c0_seq1	LN:543
@SQ	SN:comp802_c0_seq1	LN:280
@SQ	SN:comp803_c1_seq1	LN:221
@SQ	SN:comp805_c1_seq1	LN:607
@SQ	SN:comp806_c0_seq1	LN:622
@SQ	SN:comp806_c0_seq3	LN:472
@SQ	SN:comp810_c0_seq1	LN:338
@SQ	SN:comp812_c0_seq1	LN:272
@SQ	SN:comp813_c0_seq1	LN:408
@SQ	SN:comp814_c0_seq1	LN:537
@SQ	SN:comp821_c0_seq1	LN:772
@SQ	SN:comp822_c1_seq1	LN:326
@SQ	SN:comp830_c0_seq1	LN:511
@SQ	SN:comp830_c1_seq1	LN:464
@SQ	SN:comp834_c0_seq1	LN:398
@SQ	SN:comp837_c0_seq1	LN:240
@SQ	SN:comp837_c1_seq1	LN:244
@SQ	SN:comp839_c0_seq1	LN:427
@SQ	SN:comp843_c0_seq1	LN:365
@SQ	SN:comp844_c0_seq1	LN:529
@SQ	SN:comp846_c0_seq1	LN:238
@SQ	SN:comp850_c0_seq2	LN:245
@SQ	SN:comp851_c0_seq1	LN:394
@SQ	SN:comp855_c0_seq1	LN:413
@SQ	SN:comp856_c0_seq1	LN:508
@SQ	SN:comp859_c0_seq1	LN:329
@SQ	SN:comp860_c0_seq1	LN:232
@SQ	SN:comp863_c0_seq1	LN:213
@SQ	SN:comp864_c0_seq2	LN:315
@SQ	SN:comp866_c0_seq1	LN:250
@SQ	SN:comp868_c0_seq1	LN:446
@SQ	SN:comp870_c0_seq1	LN:598
@SQ	SN:comp871_c0_seq1	LN:745
@SQ	SN:comp873_c0_seq1	LN:1090
@SQ	SN:comp874_c0_seq1	LN:454
@SQ	SN:comp877_c1_seq1	LN:308
@SQ	SN:comp878_c0_seq1	LN:438
@SQ	SN:comp880_c0_seq1	LN:511
@SQ	SN:comp880_c0_seq2	LN:201
@SQ	SN:comp881_c0_seq1	LN:248
@SQ	SN:comp884_c0_seq1	LN:368
@SQ	SN:comp886_c0_seq1	LN:509
@SQ	SN:comp886_c1_seq1	LN:260
@SQ	SN:comp891_c0_seq1	LN:509
@SQ	SN:comp893_c0_seq1	LN:285
@SQ	SN:comp894_c0_seq1	LN:250
@SQ	SN:comp895_c0_seq1	LN:303
@SQ	SN:comp897_c1_seq1	LN:441
@SQ	SN:comp899_c1_seq1	LN:227
@SQ	SN:comp903_c0_seq1	LN:1093
@SQ	SN:comp903_c0_seq2	LN:276
@SQ	SN:comp903_c0_seq3	LN:253
@SQ	SN:comp908_c0_seq1	LN:414
@SQ	SN:comp908_c0_seq2	LN:352
@SQ	SN:comp909_c0_seq1	LN:240
@SQ	SN:comp910_c0_seq1	LN:449
@SQ	SN:comp912_c0_seq1	LN:259
@SQ	SN:comp912_c1_seq1	LN:219
@SQ	SN:comp916_c0_seq1	LN:223
@SQ	SN:comp917_c0_seq1	LN:372
@SQ	SN:comp918_c0_seq1	LN:284
@SQ	SN:comp919_c0_seq1	LN:619
@SQ	SN:comp925_c0_seq1	LN:206
@SQ	SN:comp929_c0_seq1	LN:328
@SQ	SN:comp929_c1_seq1	LN:777
@SQ	SN:comp930_c0_seq1	LN:344
@SQ	SN:comp931_c0_seq1	LN:1536
@SQ	SN:comp934_c0_seq2	LN:271
@SQ	SN:comp936_c0_seq1	LN:479
@SQ	SN:comp939_c0_seq1	LN:214
@SQ	SN:comp940_c0_seq1	LN:349
@SQ	SN:comp941_c0_seq1	LN:449
@SQ	SN:comp948_c0_seq1	LN:390
@SQ	SN:comp950_c0_seq1	LN:341
@SQ	SN:comp951_c0_seq1	LN:208
@SQ	SN:comp952_c0_seq1	LN:400
@SQ	SN:comp958_c0_seq1	LN:379
@SQ	SN:comp959_c0_seq1	LN:258
@SQ	SN:comp961_c1_seq1	LN:556
@SQ	SN:comp962_c0_seq1	LN:280
@SQ	SN:comp964_c0_seq1	LN:258
@SQ	SN:comp968_c0_seq1	LN:224
@SQ	SN:comp970_c0_seq1	LN:677
@SQ	SN:comp973_c0_seq1	LN:616
@SQ	SN:comp975_c0_seq1	LN:292
@SQ	SN:comp979_c1_seq1	LN:252
@SQ	SN:comp981_c0_seq1	LN:284
@SQ	SN:comp981_c0_seq2	LN:211
@SQ	SN:comp983_c0_seq1	LN:414
@SQ	SN:comp983_c1_seq1	LN:249
@SQ	SN:comp989_c0_seq1	LN:249
@SQ	SN:comp992_c0_seq1	LN:305
@SQ	SN:comp995_c0_seq1	LN:410
@SQ	SN:comp995_c1_seq1	LN:422
@SQ	SN:comp998_c0_seq1	LN:387
@SQ	SN:comp1001_c0_seq1	LN:209
@SQ	SN:comp1005_c0_seq1	LN:263
@SQ	SN:comp1008_c0_seq1	LN:660
@SQ	SN:comp1009_c0_seq1	LN:217
@SQ	SN:comp1011_c0_seq1	LN:233
@SQ	SN:comp1014_c0_seq1	LN:383
@SQ	SN:comp1014_c1_seq1	LN:423
@SQ	SN:comp1021_c0_seq1	LN:895
@SQ	SN:comp1023_c0_seq1	LN:396
@SQ	SN:comp1023_c1_seq1	LN:340
@SQ	SN:comp1024_c0_seq1	LN:594
@SQ	SN:comp1031_c0_seq1	LN:484
@SQ	SN:comp1032_c0_seq1	LN:495
@SQ	SN:comp1038_c0_seq1	LN:449
@SQ	SN:comp1038_c1_seq1	LN:657
@SQ	SN:comp1048_c0_seq1	LN:359
@SQ	SN:comp1048_c1_seq1	LN:566
@SQ	SN:comp1049_c0_seq1	LN:629
@SQ	SN:comp1051_c0_seq1	LN:252
@SQ	SN:comp1053_c0_seq1	LN:297
@SQ	SN:comp1059_c0_seq1	LN:464
@SQ	SN:comp1061_c0_seq1	LN:327
@SQ	SN:comp1064_c0_seq1	LN:615
@SQ	SN:comp1066_c0_seq1	LN:698
@SQ	SN:comp1066_c1_seq1	LN:404
@SQ	SN:comp1073_c0_seq2	LN:1109
@SQ	SN:comp1074_c1_seq1	LN:363
@SQ	SN:comp1077_c0_seq1	LN:206
@SQ	SN:comp1086_c0_seq1	LN:294
@SQ	SN:comp1088_c0_seq1	LN:458
@SQ	SN:comp1090_c0_seq1	LN:532
@SQ	SN:comp1091_c0_seq1	LN:545
@SQ	SN:comp1093_c0_seq1	LN:278
@SQ	SN:comp1096_c0_seq1	LN:284
@SQ	SN:comp1098_c0_seq1	LN:1440
@SQ	SN:comp1099_c1_seq1	LN:514
@SQ	SN:comp1100_c0_seq1	LN:652
@SQ	SN:comp1102_c0_seq1	LN:356
@SQ	SN:comp1103_c0_seq1	LN:445
@SQ	SN:comp1104_c0_seq1	LN:656
@SQ	SN:comp1104_c1_seq1	LN:255
@SQ	SN:comp1105_c0_seq1	LN:384
@SQ	SN:comp1105_c1_seq1	LN:318
@SQ	SN:comp1106_c0_seq1	LN:290
@SQ	SN:comp1110_c0_seq1	LN:523
@SQ	SN:comp1117_c0_seq1	LN:265
@SQ	SN:comp1117_c1_seq1	LN:232
@SQ	SN:comp1118_c0_seq1	LN:265
@SQ	SN:comp1121_c0_seq2	LN:467
@SQ	SN:comp1122_c0_seq1	LN:489
@SQ	SN:comp1124_c0_seq1	LN:542
@SQ	SN:comp1126_c0_seq1	LN:229
@SQ	SN:comp1131_c0_seq1	LN:766
@SQ	SN:comp1135_c0_seq1	LN:275
@SQ	SN:comp1136_c0_seq2	LN:524
@SQ	SN:comp1137_c0_seq1	LN:305
@SQ	SN:comp1138_c0_seq1	LN:432
@SQ	SN:comp1139_c1_seq1	LN:365
@SQ	SN:comp1142_c0_seq1	LN:524
@SQ	SN:comp1143_c0_seq1	LN:220
@SQ	SN:comp1144_c0_seq1	LN:629
@SQ	SN:comp1144_c0_seq2	LN:287
@SQ	SN:comp1147_c0_seq1	LN:418
@SQ	SN:comp1149_c0_seq1	LN:410
@SQ	SN:comp1151_c0_seq1	LN:218
@SQ	SN:comp1156_c0_seq1	LN:255
@SQ	SN:comp1158_c0_seq1	LN:430
@SQ	SN:comp1161_c0_seq1	LN:239
@SQ	SN:comp1162_c0_seq1	LN:528
@SQ	SN:comp1163_c1_seq1	LN:475
@SQ	SN:comp1164_c0_seq1	LN:247
@SQ	SN:comp1164_c0_seq2	LN:242
@SQ	SN:comp1169_c0_seq1	LN:258
@SQ	SN:comp1171_c0_seq1	LN:817
@SQ	SN:comp1172_c0_seq1	LN:1158
@SQ	SN:comp1175_c0_seq1	LN:215
@SQ	SN:comp1180_c0_seq1	LN:336
@SQ	SN:comp1181_c1_seq1	LN:227
@SQ	SN:comp1185_c0_seq1	LN:467
@SQ	SN:comp1185_c0_seq2	LN:394
@SQ	SN:comp1188_c0_seq1	LN:242
@SQ	SN:comp1190_c1_seq1	LN:313
@SQ	SN:comp1192_c0_seq1	LN:630
@SQ	SN:comp1194_c1_seq1	LN:255
@SQ	SN:comp1195_c0_seq1	LN:355
@SQ	SN:comp1197_c0_seq1	LN:641
@SQ	SN:comp1198_c0_seq1	LN:444
@SQ	SN:comp1200_c0_seq1	LN:230
@SQ	SN:comp1202_c0_seq1	LN:449
@SQ	SN:comp1203_c0_seq1	LN:209
@SQ	SN:comp1203_c1_seq1	LN:295
@SQ	SN:comp1205_c0_seq1	LN:520
@SQ	SN:comp1207_c0_seq1	LN:360
@SQ	SN:comp1208_c0_seq1	LN:353
@SQ	SN:comp1209_c0_seq1	LN:358
@SQ	SN:comp1209_c0_seq2	LN:321
@SQ	SN:comp1210_c0_seq1	LN:421
@SQ	SN:comp1210_c1_seq1	LN:263
@SQ	SN:comp1211_c0_seq1	LN:846
@SQ	SN:comp1217_c0_seq1	LN:381
@SQ	SN:comp1219_c0_seq1	LN:201
@SQ	SN:comp1219_c1_seq1	LN:201
@SQ	SN:comp1225_c0_seq1	LN:224
@SQ	SN:comp1225_c1_seq1	LN:257
@SQ	SN:comp1228_c0_seq1	LN:335
@SQ	SN:comp1229_c0_seq1	LN:481
@SQ	SN:comp1233_c0_seq1	LN:903
@SQ	SN:comp1236_c0_seq1	LN:600
@SQ	SN:comp1237_c0_seq1	LN:322
@SQ	SN:comp1241_c0_seq1	LN:473
@SQ	SN:comp1250_c0_seq1	LN:201
@SQ	SN:comp1253_c0_seq1	LN:276
@SQ	SN:comp1256_c0_seq1	LN:217
@SQ	SN:comp1258_c0_seq1	LN:218
@SQ	SN:comp1259_c0_seq1	LN:446
@SQ	SN:comp1261_c0_seq1	LN:521
@SQ	SN:comp1264_c0_seq1	LN:2028
@SQ	SN:comp1265_c0_seq1	LN:493
@SQ	SN:comp1265_c1_seq1	LN:308
@SQ	SN:comp1270_c0_seq1	LN:203
@SQ	SN:comp1279_c0_seq2	LN:308
@SQ	SN:comp1280_c0_seq1	LN:232
